control,pause_noise_dbfs,speech_dbfs,qadd_pause_ac_level_dbfs_median,qadd_pause_level_iqr_db,qadd_speech_pause_level_contrast_db,qadd_pause_spectral_flatness,qadd_mains_hum_comb_score_db,table,contrast_db,pause_level_dbfs,am_depth_db,pause_iqr_db,flatness,hum_score_db
pause_noise_dose,-70.0,-20.0,-70.01034363099457,0.4631877201969985,50.07145610997012,0.5591282272609681,0.642079133027216,noise_dose,,,,,,
pause_noise_dose,-60.0,-20.0,-60.01034363099457,0.4631877201969985,40.0699973610791,0.5591282272609706,0.6420791330272174,noise_dose,,,,,,
pause_noise_dose,-50.0,-20.0,-50.01034363099457,0.4631877201969985,30.07506036562059,0.5591282272609681,0.642079133027217,noise_dose,,,,,,
pause_noise_dose,-40.0,-20.0,-40.01034363099457,0.4631877201969985,20.098646121668494,0.5591282272609699,0.6420791330272151,noise_dose,,,,,,
pause_noise_dose,-30.0,-20.0,-30.010343630994576,0.46318772019700205,10.414824100419885,0.5591282272609706,0.642079133027216,noise_dose,,,,,,
,-60.0,-28.0,,,,,,factorial,32.1169713340327,-60.051712223622715,,,,
,-50.0,-28.0,,,,,,factorial,22.12838100389991,-50.051712223622715,,,,
,-40.0,-28.0,,,,,,factorial,12.328417767039255,-40.051712223622715,,,,
,-60.0,-22.0,,,,,,factorial,38.11463740399084,-60.051712223622715,,,,
,-50.0,-22.0,,,,,,factorial,28.120597067212444,-50.051712223622715,,,,
,-40.0,-22.0,,,,,,factorial,18.155689263488625,-40.051712223622715,,,,
,-60.0,-16.0,,,,,,factorial,44.113968595597996,-60.051712223622715,,,,
,-50.0,-16.0,,,,,,factorial,34.115847729284596,-50.051712223622715,,,,
,-40.0,-16.0,,,,,,factorial,24.122735357853752,-40.051712223622715,,,,
,,,,,,,,am,,-50.0153565880085,0.0,0.3477937837428584,,
,,,,,,,,am,,-50.639188145724916,3.0,4.484744739712077,,
,,,,,,,,am,,-52.10650901703359,6.0,8.824358189871347,,
,,,,,,,,am,,-54.09806787924978,9.0,13.008191192031305,,
,,,,,,,,am,,-56.355036446183206,12.0,17.317398015414888,,
,,,,,,,,am,,-58.80132439311768,15.0,21.629780757114922,,
white,,,,,,,,spectral,,,,,0.5611799960049346,1.4206823316606334
pink,,,,,,,,spectral,,,,,0.30634122469597225,1.4582567858787971
brown,,,,,,,,spectral,,,,,0.03971120505980387,1.3882085669792539
single_tone_437,,,,,,,,spectral,,,,,0.0001617271939607433,0.4024161157017858
single_tone_50,,,,,,,,spectral,,,,,0.5686042576805264,1.9658152306299685
single_tone_60,,,,,,,,spectral,,,,,0.5694018196514607,2.196796731421958
