feature,gain_db,expected_change,observed_change,absolute_error,table,source_sample_rate_hz,difference,codec,codec_class,absolute_difference,tolerance,tolerance_ratio
qadd_pause_ac_level_dbfs_median,-12.0,-12.0,-12.0,0.0,gain,,,,,,,
qadd_pause_level_iqr_db,-12.0,0.0,0.0,0.0,gain,,,,,,,
qadd_speech_pause_level_contrast_db,-12.0,0.0,0.0,0.0,gain,,,,,,,
qadd_pause_spectral_flatness,-12.0,0.0,1.5543122344752192e-15,1.5543122344752192e-15,gain,,,,,,,
qadd_mains_hum_comb_score_db,-12.0,0.0,-4.440892098500626e-16,4.440892098500626e-16,gain,,,,,,,
qadd_pause_ac_level_dbfs_median,-6.0,-6.0,-6.0,0.0,gain,,,,,,,
qadd_pause_level_iqr_db,-6.0,0.0,0.0,0.0,gain,,,,,,,
qadd_speech_pause_level_contrast_db,-6.0,0.0,0.0,0.0,gain,,,,,,,
qadd_pause_spectral_flatness,-6.0,0.0,1.5543122344752192e-15,1.5543122344752192e-15,gain,,,,,,,
qadd_mains_hum_comb_score_db,-6.0,0.0,-8.881784197001252e-16,8.881784197001252e-16,gain,,,,,,,
qadd_pause_ac_level_dbfs_median,0.0,0.0,0.0,0.0,gain,,,,,,,
qadd_pause_level_iqr_db,0.0,0.0,0.0,0.0,gain,,,,,,,
qadd_speech_pause_level_contrast_db,0.0,0.0,0.0,0.0,gain,,,,,,,
qadd_pause_spectral_flatness,0.0,0.0,0.0,0.0,gain,,,,,,,
qadd_mains_hum_comb_score_db,0.0,0.0,0.0,0.0,gain,,,,,,,
qadd_pause_ac_level_dbfs_median,6.0,6.0,6.0,0.0,gain,,,,,,,
qadd_pause_level_iqr_db,6.0,0.0,0.0,0.0,gain,,,,,,,
qadd_speech_pause_level_contrast_db,6.0,0.0,-3.552713678800501e-15,3.552713678800501e-15,gain,,,,,,,
qadd_pause_spectral_flatness,6.0,0.0,1.887379141862766e-15,1.887379141862766e-15,gain,,,,,,,
qadd_mains_hum_comb_score_db,6.0,0.0,0.0,0.0,gain,,,,,,,
qadd_pause_ac_level_dbfs_median,12.0,12.0,12.0,0.0,gain,,,,,,,
qadd_pause_level_iqr_db,12.0,0.0,0.0,0.0,gain,,,,,,,
qadd_speech_pause_level_contrast_db,12.0,0.0,0.0,0.0,gain,,,,,,,
qadd_pause_spectral_flatness,12.0,0.0,6.661338147750939e-16,6.661338147750939e-16,gain,,,,,,,
qadd_mains_hum_comb_score_db,12.0,0.0,8.881784197001252e-16,8.881784197001252e-16,gain,,,,,,,
pause_ac_level_dbfs_median,,,,,resampling,44100.0,-0.21347535601840661,,,,,
pause_ac_level_dbfs_median,,,,,resampling,48000.0,-0.21409437829466071,,,,,
pause_level_iqr_db,,,,,resampling,44100.0,-0.001253960647161989,,,,,
pause_level_iqr_db,,,,,resampling,48000.0,-0.0012697182820105013,,,,,
speech_pause_level_contrast_db,,,,,resampling,44100.0,0.21492864372726217,,,,,
speech_pause_level_contrast_db,,,,,resampling,48000.0,0.21539398743724192,,,,,
pause_spectral_flatness,,,,,resampling,44100.0,-4.096018972443716e-06,,,,,
pause_spectral_flatness,,,,,resampling,48000.0,-4.842152744655159e-06,,,,,
mains_hum_comb_score_db,,,,,resampling,44100.0,-5.757042181198102e-05,,,,,
mains_hum_comb_score_db,,,,,resampling,48000.0,-3.9093132320644486e-05,,,,,
qadd_pause_ac_level_dbfs_median,,,,,codec,,0.00042406932259098085,flac,lossless,0.00042406932259098085,1.0,0.00042406932259098085
qadd_pause_level_iqr_db,,,,,codec,,0.000669420000086518,flac,lossless,0.000669420000086518,0.5,0.001338840000173036
qadd_speech_pause_level_contrast_db,,,,,codec,,-0.00042647147359886617,flac,lossless,0.00042647147359886617,0.75,0.0005686286314651549
