codec,codec_class,feature,difference,absolute_difference,tolerance,tolerance_ratio
flac,lossless,qadd_pause_ac_level_dbfs_median,0.00042406932259098085,0.00042406932259098085,1.0,0.00042406932259098085
flac,lossless,qadd_pause_level_iqr_db,0.000669420000086518,0.000669420000086518,0.5,0.001338840000173036
flac,lossless,qadd_speech_pause_level_contrast_db,-0.00042647147359886617,0.00042647147359886617,0.75,0.0005686286314651549
flac,lossless,qadd_pause_spectral_flatness,-4.265184485174878e-05,4.265184485174878e-05,0.03,0.0014217281617249593
flac,lossless,qadd_mains_hum_comb_score_db,0.0024094670633560966,0.0024094670633560966,1.5,0.001606311375570731
opus_64k,lossy,qadd_pause_ac_level_dbfs_median,-0.29732269020671964,0.29732269020671964,1.0,0.29732269020671964
opus_64k,lossy,qadd_pause_level_iqr_db,-0.014080025268448537,0.014080025268448537,0.5,0.028160050536897074
opus_64k,lossy,qadd_speech_pause_level_contrast_db,0.2557856330684025,0.2557856330684025,0.75,0.34104751075787004
opus_64k,lossy,qadd_pause_spectral_flatness,0.0002516997228450002,0.0002516997228450002,0.03,0.008389990761500007
opus_64k,lossy,qadd_mains_hum_comb_score_db,-0.1561507859362301,0.1561507859362301,1.5,0.10410052395748674
aac_96k,lossy,qadd_pause_ac_level_dbfs_median,-0.21272764396667299,0.21272764396667299,1.0,0.21272764396667299
aac_96k,lossy,qadd_pause_level_iqr_db,0.04273544605181456,0.04273544605181456,0.5,0.08547089210362913
aac_96k,lossy,qadd_speech_pause_level_contrast_db,0.20868911649783328,0.20868911649783328,0.75,0.2782521553304444
aac_96k,lossy,qadd_pause_spectral_flatness,-0.004800204472866998,0.004800204472866998,0.03,0.16000681576223327
aac_96k,lossy,qadd_mains_hum_comb_score_db,0.030831774471443474,0.030831774471443474,1.5,0.02055451631429565
mp3_96k,lossy,qadd_pause_ac_level_dbfs_median,-0.8768127020302927,0.8768127020302927,1.0,0.8768127020302927
mp3_96k,lossy,qadd_pause_level_iqr_db,-0.027509318985515563,0.027509318985515563,0.5,0.055018637971031126
mp3_96k,lossy,qadd_speech_pause_level_contrast_db,0.4313364347044377,0.4313364347044377,0.75,0.5751152462725836
mp3_96k,lossy,qadd_pause_spectral_flatness,9.569588773372661e-05,9.569588773372661e-05,0.03,0.003189862924457554
mp3_96k,lossy,qadd_mains_hum_comb_score_db,-0.21506541470362617,0.21506541470362617,1.5,0.14337694313575078
