feature,gain_db,expected_change,observed_change,absolute_error
qadd_pause_ac_level_dbfs_median,-12.0,-12.0,-12.0,0.0
qadd_pause_level_iqr_db,-12.0,0.0,0.0,0.0
qadd_speech_pause_level_contrast_db,-12.0,0.0,0.0,0.0
qadd_pause_spectral_flatness,-12.0,0.0,1.5543122344752192e-15,1.5543122344752192e-15
qadd_mains_hum_comb_score_db,-12.0,0.0,-4.440892098500626e-16,4.440892098500626e-16
qadd_pause_ac_level_dbfs_median,-6.0,-6.0,-6.0,0.0
qadd_pause_level_iqr_db,-6.0,0.0,0.0,0.0
qadd_speech_pause_level_contrast_db,-6.0,0.0,0.0,0.0
qadd_pause_spectral_flatness,-6.0,0.0,1.5543122344752192e-15,1.5543122344752192e-15
qadd_mains_hum_comb_score_db,-6.0,0.0,-8.881784197001252e-16,8.881784197001252e-16
qadd_pause_ac_level_dbfs_median,0.0,0.0,0.0,0.0
qadd_pause_level_iqr_db,0.0,0.0,0.0,0.0
qadd_speech_pause_level_contrast_db,0.0,0.0,0.0,0.0
qadd_pause_spectral_flatness,0.0,0.0,0.0,0.0
qadd_mains_hum_comb_score_db,0.0,0.0,0.0,0.0
qadd_pause_ac_level_dbfs_median,6.0,6.0,6.0,0.0
qadd_pause_level_iqr_db,6.0,0.0,0.0,0.0
qadd_speech_pause_level_contrast_db,6.0,0.0,-3.552713678800501e-15,3.552713678800501e-15
qadd_pause_spectral_flatness,6.0,0.0,1.887379141862766e-15,1.887379141862766e-15
qadd_mains_hum_comb_score_db,6.0,0.0,0.0,0.0
qadd_pause_ac_level_dbfs_median,12.0,12.0,12.0,0.0
qadd_pause_level_iqr_db,12.0,0.0,0.0,0.0
qadd_speech_pause_level_contrast_db,12.0,0.0,0.0,0.0
qadd_pause_spectral_flatness,12.0,0.0,6.661338147750939e-16,6.661338147750939e-16
qadd_mains_hum_comb_score_db,12.0,0.0,8.881784197001252e-16,8.881784197001252e-16
