fundamental_hz,comb_dbfs,drift_hz,score_db,supported_harmonics
50,-50,0,43.71986480597426,4.0
50,-44,0,49.716639205674255,4.0
50,-38,0,55.715069775711214,4.0
50,-32,0,61.714295017695825,4.0
50,-26,0,67.71390968342297,4.0
60,-50,0,44.83101316837068,4.0
60,-44,0,50.8385833997373,4.0
60,-38,0,56.84238561961514,4.0
60,-32,0,62.84429325024833,4.0
60,-26,0,68.84524983038486,4.0
50,-32,0,61.714295017695825,4.0
50,-32,1,50.194716885365544,4.0
50,-32,2,47.52621894111262,4.0
50,-32,3,41.18771134665535,4.0
50,-32,5,24.702543674887274,2.5
